year,month,day,name,title,query,share_text,url,alternate_url,high_res_url,high_res_width,high_res_height
2018,2,21,doodle-snow-games-day-13,Doodle Snow Games - Day 13,Winter Olympics,Day 13 of the Doodle Snow Games! ❄️ #GoogleDoodle,//www.google.com/logos/doodles/2018/doodle-snow-games-day-14-6465015337975808-l.png,https://lh3.googleusercontent.com/gjTZOD3rCl2gyuAK4ChTmiTXH82e6j1XCXFtKwK-SCUivI1NAI4j96gZDZKfrL77vDrn_opp4rDr1nDPml1aeM98NDOEkPZ7DaH3UsXX,//www.google.com/logos/doodles/2018/doodle-snow-games-day-14-6465015337975808-2xa.gif,782.0,440.0
2018,2,22,doodle-snow-games-day-14,Doodle Snow Games - Day 14,Winter Olympics,Day 14 of the Doodle Snow Games! ❄️ #GoogleDoodle,//www.google.com/logos/doodles/2018/doodle-snow-games-day-14-5453527856971776-l.png,https://lh3.googleusercontent.com/IfyAeJ7YbBaYrWhZb9cJ1D1UQmeZYV5hxbeAAYqUNWC_9hrIZ3p7qm5gSv6vyB5FFATnirl7anxeI9hfFDdhXVpuqdOBriU_S_O-pESv,//www.google.com/logos/doodles/2018/doodle-snow-games-day-14-5453527856971776.2-2xa.gif,818.0,460.0
2018,2,23,doodle-snow-games-day-15,Doodle Snow Games - Day 15,Winter Olympics,Day 15 of the Doodle Snow Games! ❄️ #GoogleDoodle,//www.google.com/logos/doodles/2018/doodle-snow-games-day-15-5907794870927360.3-l.png,https://lh3.googleusercontent.com/NeTpc1irW-aQ7aARun0yovf54uNPQyKvZG4lTYeUGY0T6DV5-Z5N2xJoZXkNdp9B7guC9z1c29zIIwP75C91iUf6fYeWjhDa6aCUHTV8ew,//www.google.com/logos/doodles/2018/doodle-snow-games-day-15-5907794870927360.3-2xa.gif,818.0,460.0
2018,2,24,estonia-independence-day-2018,Estonia Independence Day 2018,Estonia Independence Day,"Happy Independence Day 2018, Estonia! #GoogleDoodle",//www.google.com/logos/doodles/2018/estonia-independence-day-2018-6217554556092416.2-law.gif,https://lh3.googleusercontent.com/TuqAB6jDzHmP8Bddl7fMEsLEYU7QRpinN3FbXh6hOLP00dMis1eotbAEVoByrj4qft-XojqEb2RjzLiCrx9GPzQp6oImEz5xsLd-5BY,//www.google.com/logos/doodles/2018/estonia-independence-day-2018-6217554556092416-2xa.gif,1000.0,400.0
2018,2,24,doodle-snow-games-day-16,Doodle Snow Games - Day 16,Winter Olympics,Day 16 of the Doodle Snow Games! ❄️ #GoogleDoodle,//www.google.com/logos/doodles/2018/doodle-snow-games-day-16-5525914497581056.3-l.png,https://lh3.googleusercontent.com/R-gvyG6uplN-mgEbYWnAb9YznheVWzrh67eI_LffIuN5TDZaAWt7mqf4Zsn4YDnhBcUmcsi7xOQe6D4w4wE5s1WYceipnPgfM9gN7lA,//www.google.com/logos/doodles/2018/doodle-snow-games-day-16-5525914497581056.2-2xa.gif,782.0,440.0
2018,2,25,kuwait-national-day-2018,Kuwait National Day 2018,Kuwait National Day,"Happy National Day 2018, Kuwait! #GoogleDoodle",//www.google.com/logos/doodles/2018/kuwait-national-day-2018-5032899496640512.2-law.gif,https://lh3.googleusercontent.com/xjoeyufxSVMZePzK1zSOZFnswfLk_lYaLJ9rIQGkeavCv0ahFZcizJB7fRc9rO-qnuAYBLwOcNcQr76YmMeeu1TqUfVIP_LU41HA2Pev,//www.google.com/logos/doodles/2018/kuwait-national-day-2018-5032899496640512.2-2xa.gif,1150.0,460.0
2018,2,25,doodle-snow-games-day-17,Doodle Snow Games - Day 17,Winter Olympics,Doodle Snow Games Finale! ❄️ #GoogleDoodle,//www.google.com/logos/doodles/2018/2018-doodle-snow-games-day-17-6585325022347264-l.png,https://lh3.googleusercontent.com/ufx5vDCTaDzzH3otAWQ3GyABf4l3-dqBa1a1KG9k_NSuejf6pxcLfeXOwi53plzxwZeKLz_s2ysPqwdekygQwepJO7D91mTWftovAieB,//www.google.com/logos/doodles/2018/2018-doodle-snow-games-day-17-6585325022347264-2xa.gif,782.0,440.0
2018,2,27,dominican-republic-independence-day-2018,Dominican Republic Independence Day 2018,Dominican Republic Independence Day,"Happy Independence Day 2018, Dominican Republic! #GoogleDoodle",//www.google.com/logos/doodles/2018/dominican-republic-national-day-2018-4626826914693120-law.gif,https://lh3.googleusercontent.com/yfDkGL8hVHSKJt5d8G5jCS4aC8t0H_VJphlutCjjbETg0IHVvuR-taYXJrkN8RBJJ3iS8uLfrT4zA0SfgYh1TlNpOTBpxA1uWRoqlmE,//www.google.com/logos/doodles/2018/dominican-republic-national-day-2018-4626826914693120-2xa.gif,1000.0,400.0
2018,2,27,celebrating-may-ayim,Celebrating May Ayim,Celebrating May Ayim,Celebrating May Ayim #GoogleDoodle,//www.google.com/logos/doodles/2018/celebrating-may-ayim-6367294832771072-l.png,https://lh3.googleusercontent.com/FgSn7iEMUQx9ojynvD0LQmLQpy7T5kwXdK8y4_dUOX63ESBdbN3aLYo86iTzEc_SpRYJdRNeR2rsa3zxfGAYVFHmMOVNOZ52BUwMRUk,//www.google.com/logos/doodles/2018/celebrating-may-ayim-6367294832771072.2-2x.png,1000.0,400.0
2018,3,1,st-davids-day-2018,St. David's Day 2018,St. David's Day 2018,Happy St. David's Day 2018! #GoogleDoodle,//www.google.com/logos/doodles/2018/st-davids-day-2018-6038210076475392-l.png,https://lh3.googleusercontent.com/9sUerDRMmN9_8RKNEbLCZyDI_oWlhO1adGd4JInQdV5tzZL9lEpdTOc5690RFUZI-c3BdC8MO26_ITynaxSUWR9upf79nIpvTM1lwow6,//www.google.com/logos/doodles/2018/st-davids-day-2018-6038210076475392-2x.jpg,1000.0,400.0
